# VIPERS Database
# File    : VIPERS_W1_SPECTRO_PDR1.txt.gz
# Date    : 2013-10-15 10:43
# Table   : W1_SPECTRO_PDR1
# Columns : 14
# Rows    : 30523
# SQL     : SELECT W1_SPECTRO_PDR1.id_IAU, W1_SPECTRO_PDR1.num, W1_SPEC
#           TRO_PDR1.alpha, W1_SPECTRO_PDR1.delta, W1_SPECTRO_PDR1.selm
#           ag, W1_SPECTRO_PDR1.errselmag, W1_SPECTRO_PDR1.pointing, W1
#           _SPECTRO_PDR1.quadrant, W1_SPECTRO_PDR1.zflg, W1_SPECTRO_PD
#           R1.zspec, W1_SPECTRO_PDR1.epoch, W1_SPECTRO_PDR1.photoMask,
#            W1_SPECTRO_PDR1.tsr, W1_SPECTRO_PDR1.ssr FROM W1_SPECTRO_P
#           DR1
# id_IAU	num	alpha	delta	selmag	errselmag	pointing	quadrant	zflg	zspec	epoch	photoMask	tsr	ssr
# CHAR	VARCHAR	DOUBLE	DOUBLE	FLOAT	FLOAT	VARCHAR	INT	FLOAT	FLOAT	INT	CHAR	FLOAT	FLOAT
# 		deg	deg	mag	mag								
VIPERS 122085238	122085238	33.280844	-4.283803	21.9974	0.0354	W1P044	2	  1.2	1.0170	1	1	0.4508	-1.000
VIPERS 122099836	122099836	33.281781	-4.216370	21.6798	0.0208	W1P044	2	  1.5	0.7965	1	1	0.4525	-1.000
VIPERS 122080708	122080708	33.283900	-4.297692	20.5084	0.0075	W1P044	2	  1.2	0.4490	1	1	0.4582	-1.000
VIPERS 122094174	122094174	33.284390	-4.243089	20.9388	0.0143	W1P044	2	  1.5	0.8615	1	1	0.4479	-1.000
VIPERS 122103558	122103558	33.284158	-4.198942	21.0285	0.0116	W1P044	2	  1.5	0.4661	1	1	0.4410	-1.000
VIPERS 122086439	122086439	33.286058	-4.278516	21.1410	0.0135	W1P044	2	  3.5	0.6420	1	1	0.4410	0.920
VIPERS 122099834	122099834	33.286193	-4.217421	22.4559	0.0308	W1P044	2	  1.2	0.0849	1	1	0.4463	-1.000
VIPERS 122098220	122098220	33.287465	-4.223526	20.3943	0.0071	W1P044	2	  2.5	0.5882	1	1	0.4472	0.967
VIPERS 122105079	122105079	33.288784	-4.192572	21.8018	0.0187	W1P044	2	  1.4	0.6192	1	1	0.4508	-1.000
VIPERS 122092450	122092450	33.289797	-4.251404	20.5524	0.0067	W1P044	2	 11.2	0.6289	1	1	0.4582	-1.000
VIPERS 122108769	122108769	33.290251	-4.174700	21.0823	0.0110	W1P044	2	  1.2	0.6120	1	1	0.4410	-1.000
VIPERS 122086858	122086858	33.291394	-4.277162	21.5338	0.0129	W1P044	2	 13.2	3.3884	1	1	-1.0000	-1.000
VIPERS 122099048	122099048	33.291360	-4.220587	21.4513	0.0156	W1P044	2	  3.5	0.6435	1	1	0.4519	0.920
VIPERS 122089227	122089227	33.293963	-4.265043	22.3769	0.0455	W1P044	2	  2.2	0.6541	1	1	0.4463	0.756
VIPERS 122099890	122099890	33.294879	-4.217175	22.4688	0.0280	W1P044	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 122108847	122108847	33.294006	-4.174280	21.4131	0.0147	W1P044	2	  3.5	0.5844	1	1	0.4519	0.914
VIPERS 122084417	122084417	33.297825	-4.286431	21.8515	0.0178	W1P044	2	  0.0	9.9999	1	1	0.4508	-1.000
VIPERS 122094352	122094352	33.297494	-4.242923	22.3666	0.0307	W1P044	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 122108857	122108857	33.296462	-4.174160	20.9536	0.0101	W1P044	2	  2.5	0.5857	1	1	0.4479	0.949
VIPERS 122085887	122085887	33.300863	-4.281313	22.2577	0.0395	W1P044	2	  0.0	9.9999	1	1	0.4463	-1.000
VIPERS 122096214	122096214	33.299161	-4.233785	21.3303	0.0154	W1P044	2	  2.5	0.7775	1	1	0.4519	0.903
VIPERS 122104378	122104378	33.301417	-4.195225	21.0634	0.0124	W1P044	2	  1.2	0.8725	1	1	0.4410	-1.000
VIPERS 122084375	122084375	33.303153	-4.287252	21.5803	0.0206	W1P044	2	  0.0	9.9999	1	1	0.4525	-1.000
VIPERS 122102697	122102697	33.303231	-4.202163	21.4311	0.0226	W1P044	2	  0.0	9.9999	1	1	0.4519	-1.000
VIPERS 122085483	122085483	33.304801	-4.282668	20.7047	0.0092	W1P044	2	  0.0	9.9999	1	1	0.4582	-1.000
VIPERS 122104709	122104709	33.305560	-4.192940	21.5203	0.0177	W1P044	2	  1.2	0.1759	1	1	0.4525	-1.000
VIPERS 122089866	122089866	33.306466	-4.262857	21.5193	0.0143	W1P044	2	  2.5	0.6987	1	1	0.4525	0.856
VIPERS 122106690	122106690	33.307276	-4.184040	21.0160	0.0159	W1P044	2	  1.4	0.6595	1	1	0.4410	-1.000
VIPERS 122094809	122094809	33.308900	-4.240583	22.1104	0.0426	W1P044	2	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 122106893	122106893	33.312701	-4.180220	21.3788	0.0146	W1P044	2	  1.2	1.1652	1	1	0.4519	-1.000
VIPERS 122097782	122097782	33.313658	-4.226706	22.0197	0.0206	W1P044	2	  0.0	9.9999	1	1	0.4524	-1.000
VIPERS 122085444	122085444	33.314972	-4.282505	21.8619	0.0198	W1P044	2	  0.0	9.9999	1	1	0.4508	-1.000
